"ORDERNUMBER","PRODUCTCODE","QUANTITYORDERED","PRICEEACH","ORDERLINENUMBER"
10825,"bZFjrLRduQtvix",48,318,34,4
11175,"fUTRlmPo",18,344,68,5
11370,"QTBgHzvrN",13,310,03,2
10819,"pDADNSKbzmBl",36,323,76,4
11453,"HXmXviNTafiw",23,348,82,6
11505,"Qdtjocsz",45,329,32,1
11998,"PCHCXydRPaX",34,349,37,5
10719,"brrEwiNfsD",35,317,78,6
10546,"GxqCgdNfGF",43,314,01,3
10842,"cgzljEDTdnfah",2,338,86,4
11584,"telVeMLmwa",50,338,37,1
10614,"HOGRJnrgW",8,335,43,6
10543,"xbPMdZue",19,323,49,1
11418,"wHZTEalSttK",19,320,56,1
11185,"cffuQFAkyBDFC",39,344,14,5
10533,"BidXhuFa",47,308,46,1
11333,"nhuHZGCIsLvMN",13,343,19,7
11638,"CxFUGhhSSHdo",8,305,72,1
11896,"hShWyGqOcxI",18,330,82,4
11678,"sqQGZPPkVPmR",12,325,52,3
11243,"vyhhSZPGRSLaSr",30,344,44,2
11497,"ucYBNOswfDdVFRQ",32,349,18,6
11445,"zXhPhpGJJc",38,303,79,5
11443,"YYOfqjcD",18,324,93,4
11037,"uNttZPHTnBBaoGs",4,315,98,2
11761,"vzrHixUkh",46,306,64,6
11225,"mnVWJVvsw",31,316,95,5
11075,"plgdvvxKHcIvSOP",42,338,46,6
10886,"HXmXviNTafiw",21,342,84,4
10659,"ZtsWdVGY",39,315,47,7
11789,"rjYfmbof",42,343,02,4
11319,"tSvWYFhtidDh",41,317,8,6
11629,"msIvlMHPf",38,344,56,4
11414,"imhtwBqsMd",9,349,11,6
11018,"ziDJIFJWqgTIRnA",2,312,68,6
10503,"FzgGoGSM",44,308,27,4
11564,"WyeVemhWRIEj",36,338,81,1
10675,"hXCjqbFFuqOtVpx",40,322,18,2
11485,"OmsODeYJzgJjo",41,322,44,4
11772,"OeGMpvwegTnsFZ",3,307,18,3
11961,"OKbJTLLaCBiKJWU",22,313,28,2
11229,"oFoUjdwOFqzn",1,338,99,2
10503,"UKkhcbLKWe",46,348,91,7
10765,"YNLtNKVcIeFK",6,316,49,4
11151,"vvAqwlNQ",8,317,34,5
11454,"HnWwaJHfD",10,321,06,3
10563,"iMQjurmm",3,335,73,3
10767,"SZjCEAHkPdaE",18,334,94,1
11525,"JEthJHuMIM",49,314,9,7
10831,"ocfDBrGdsQfNwS",13,338,39,7
11262,"JiTKOORYb",35,347,29,3
11429,"WxVXnVwQpcB",25,340,63,5
11368,"pXhSzVHodZqDo",4,307,84,6
11111,"mEcFuZtMaoHiLt",27,319,82,4
11436,"kgxYtDqxiEL",27,330,78,1
10559,"DgGqHLgtTAMB",2,315,02,3
10601,"YNLtNKVcIeFK",50,322,63,5
10625,"TxaTUebgCJdY",2,314,17,2
10983,"JXKVPOaGc",47,301,8,4
11961,"OvCoVXgqCISG",42,308,29,3
11151,"VbsUiwrKEIWQNN",33,310,89,7
11030,"tfwtZgNXLftl",46,334,39,1
10654,"amStPdRHaYZxZbU",50,342,07,2
10900,"UhwXyoryENtKx",3,342,33,7
10652,"UnzOetIYilpuav",2,320,68,7
10707,"OmsODeYJzgJjo",19,344,87,7
11884,"FWdAIcvtSeDOE",26,307,36,7
10525,"dyrfKjkO",18,304,15,1
10887,"EgdgNvrzJtt",48,326,96,4
11773,"IJjODnfWiuJ",18,334,08,3
11007,"YskyYaTnRc",21,306,8,7
10865,"WwxiDzuvCtY",20,312,52,5
11385,"iBvysrKhWktkUyw",37,325,41,6
10759,"hzvCXZRVNhj",3,313,57,6
11300,"ZxlNaPmDPg",17,335,7,2
10578,"vSqzYjINMSdUc",16,319,16,1
11573,"iMQjurmm",42,337,67,7
11770,"iPDRiRfzHruHbq",4,335,58,1
11692,"VLEaYRYeR",50,318,61,1
11752,"yYWROMmGeYxvU",3,319,43,3
11942,"cCLeTDXjDWX",30,310,27,2
11686,"ehVKKrOxepuzq",26,326,33,2
10941,"jteoJDQjDj",33,323,57,4
11121,"LqjrpHkGZEZY",32,335,44,2
11329,"mNxolSQJS",23,333,84,5
11785,"mNxolSQJS",36,336,57,5
11874,"XVGRmiUarACGTMo",7,348,98,5
11651,"qxCdNhpegKJb",17,311,25,1
10896,"JiTKOORYb",38,300,47,5
11526,"uPVoUqHYSrNzxfZ",41,312,36,3
10907,"wTIrQQMFLO",25,324,55,2
11164,"kmxrJhOBAUflmT",35,350,19,1
11725,"jskTRwjwSFkek",46,332,92,7
11812,"zALvjdKmNIDCEs",37,314,92,4
10518,"sYlgcvMp",31,331,86,1
11681,"WsfumtTAMKGIK",36,331,27,7
10545,"SyBYIOwvzTxU",39,312,61,1
11851,"hWhRgfPUjt",16,323,28,2
11057,"EajiZjcxZQgXB",24,331,42,3
10691,"XeMMglUZKCuhBeG",32,331,19,7
11531,"HuVGObrhMmtVgCy",27,340,69,4
11250,"fiLbbsBYBjZvH",41,333,11,5
10675,"tHoSgdPwpe",21,313,27,4
11497,"MxAUKKFv",36,323,54,3
11958,"YPJDohXauKL",29,348,81,5
11705,"yVELwLHUAUFETyi",40,344,09,4
11357,"ZnaLyvWbFHv",50,310,54,2
10613,"bvJhMivRWXZ",27,326,92,3
11704,"orAFfBmQroEQnb",4,337,29,6
11213,"NlNrtjSKZI",11,337,68,3
10894,"qZFbNPBpj",42,327,17,2
10963,"bubeRYnyDqx",28,339,82,6
11468,"GBNmVPwa",23,323,46,6
10948,"egnkFtFF",48,347,31,4
10782,"lELXtOKAA",12,332,39,1
11185,"selGHGmiWJyWzFp",48,316,81,2
11460,"cqRyYcnZcux",34,305,92,7
11205,"tpRGnEFFn",24,315,19,3
11665,"BfrKMhAxAxi",24,322,17,6
11799,"zoeEwwFQm",38,338,99,5
11194,"PUXNEroMyyOwMqs",11,346,65,3
10803,"RirrLBwTlG",1,347,11,2
11254,"cSzIYQofZdqLBbM",11,345,52,2
11975,"TlYcYGvbww",22,316,39,1
11179,"UhhPxUkvlGrZOQC",1,312,39,2
11338,"NKtAtvvgjDOHpF",45,346,41,6
11236,"pKwOWeiEfmKivXu",17,343,06,5
11413,"sAvvuRNTA",29,343,06,7
11324,"HTDEIJNuuix",9,345,21,7
11503,"YsHaOdGjAsO",14,300,58,2
11389,"mPOAqUCCMXs",46,307,07,3
11599,"cULvMDyhLOPQqWe",7,329,47,6
11122,"telVeMLmwa",18,330,03,6
11644,"gwadHdkWkC",8,303,76,3
11785,"kjLmyhGkVwvWYv",43,304,73,7
10780,"DZAKIOmT",35,338,47,6
11689,"iSmilczH",13,346,13,5
11271,"ruKKfzDErWTCkW",35,314,73,3
11370,"BDKnSlhKRrGVP",16,313,37,4
10640,"FUjdQhpEer",19,300,43,6
10890,"KatfueNcBgCy",29,319,31,2
10783,"lmcwsIdOcTbNh",43,313,09,2
11906,"scAHfgrjGPJXd",1,326,5,5
11104,"VdVhWlQM",36,330,2,5
11141,"YskyYaTnRc",3,301,43,2
11735,"AGzYzQZw",20,343,95,5
11178,"jVOIBUoD",20,322,85,5
11534,"yYWROMmGeYxvU",9,321,16,1
10874,"urRAEEXqNGq",10,307,37,2
10835,"FKkiIZhfPspYBtE",3,349,23,3
11866,"NKtAtvvgjDOHpF",20,302,26,3
11244,"lEcMsmIZNDQIY",36,345,3
11300,"BmHUGcvQKpByZuV",44,320,6,4
11519,"BfHKxCMvfB",14,346,1,7
11678,"JhTmHrwEF",15,337,58,5
10830,"hXKMdBNqeHtWvVO",42,328,57,6
11513,"MyqfglbgQNFBU",30,314,87,7
11735,"iLRVoTEuWTr",45,341,09,4
11970,"IagPnqGL",10,336,71,3
11892,"NrLBZoryk",43,332,63,3
10678,"jpLbRKQBxLoloA",41,342,61,6
11621,"DSzweZPZedQQNJQ",28,336,57,7
11163,"SiuKEQyESUBU",16,330,06,5
11541,"eubyZHhTIqnsdf",26,311,55,2
11323,"telVeMLmwa",43,333,65,5
10536,"PNymNgdsp",4,327,67,2
10694,"iBvysrKhWktkUyw",15,315,46,7
11122,"WyeVemhWRIEj",46,321,93,5
11154,"vJOrghAumQHPqV",41,317,43,5
11154,"hgXDITqSGxV",18,340,58,5
10986,"uuKdpxUa",1,322,74,2
11744,"wUbFBQVbtfOmTIQ",37,314,18,7
11698,"EkmMWfDnx",2,304,46,2
11480,"YtMJVPFMwIW",26,308,45,3
11068,"fxYArtOBSeyqpsn",22,341,34,2
11802,"dlrYIIALSYLO",42,322,06,4
11142,"tHGkrKNHJzv",36,336,59,1
10673,"dUkHtParoF",13,345,37,1
11719,"VRwPoYbgVfhzW",11,314,88,7
11132,"KaXRQgJNSOj",3,337,1
10548,"mMWGYSdguPdMbEf",4,349,39,7
10993,"KAYuTJzP",40,348,4,4
10720,"RpuDEfeIdUYnEe",5,304,44,1
10550,"VBipEifwVF",19,325,73,4
10672,"rcNEMybQaCZbE",20,305,18,6
11465,"TeFsvaFyaXSH",41,303,4,4
11537,"yzHlvmEw",6,311,14,3
10837,"rcNEMybQaCZbE",24,340,21,2
10710,"kgwJbacTB",47,342,01,6
10771,"KEtbPOOGIkabkN",45,326,48,4
11762,"jpLbRKQBxLoloA",35,318,42,6
11673,"FcGoqhRFKu",25,312,36,2
11295,"eeaLuoubkR",34,327,16,6
10748,"cvJDSoxzM",10,339,34,2
11644,"tGCySvUILz",19,350,26,3
10971,"syZcntMd",7,348,72,2
10930,"TLviyLBPbBJ",34,343,63,1
11611,"UKkhcbLKWe",27,346,39,5
10522,"DnkFZUPuERSl",30,341,54,5
11427,"MxcGxYIsVN",6,302,23,5
11223,"rozWvHyvQgbGzS",26,326,44,7
11320,"pXqewBAeJUzY",34,345,66,1
10813,"SbjHNsXdIrtDp",5,329,95,4
10669,"HXmXviNTafiw",42,302,53,5
10690,"GuqwSeWUdFObGC",21,326,24,2
11752,"CiwLTMgmL",47,332,15,1
10812,"lmcwsIdOcTbNh",11,307,25,4
11196,"xCCLZVTACsl",28,308,68,1
11756,"uxeqkNynmI",4,330,26,7
11583,"dUkHtParoF",13,342,44,3
11762,"FCeUWDMOsYkc",49,341,18,7
10536,"dvJEKsDX",29,314,63,7
11628,"vTmgtmsLgEIOaF",27,303,06,7
11155,"NWzPhHSMazKvDZ",14,337,02,4
10694,"UaBjihwFKFKPw",1,305,67,4
11164,"nmFNLlpB",6,341,34,3
11541,"WhQSJmYovnU",35,345,01,6
11277,"HxkbOxXyqEN",8,327,72,3
11590,"xfAdDtZR",15,340,27,6
10891,"xfBoJqofbG",7,317,53,6
11298,"dGqCJgSpjTuSYtE",33,306,29,7
10512,"uLHpTBLHmrZnXP",14,342,83,1
10732,"GRxvRpReSXVP",31,306,55,1
10723,"QtibBNjYGREJ",36,307,39,6
11866,"XYKoHgYqlF",49,333,94,7
10661,"SiuKEQyESUBU",25,331,63,3
10668,"ZHHpKmwtasSIvF",1,330,33,4
11462,"VIqvemQRsqXio",32,321,24,7
11837,"hXCjqbFFuqOtVpx",34,313,85,5
10611,"TeFsvaFyaXSH",37,314,17,2
11620,"XwjUarqDCauomT",42,340,82,3
11222,"QbWxsIKYlbHlkP",17,320,43,7
11852,"NWCrJavtUyXVmj",47,347,74,2
11453,"XwjUarqDCauomT",37,317,69,6
11236,"JPaFfqQBELAAUE",42,339,02,1
10762,"XkIzNONt",6,314,51,7
11335,"MXEBCPqb",46,328,96,7
10665,"DSzweZPZedQQNJQ",9,303,45,6
10678,"TteuEYEZEFkuDOR",40,325,39,2
11868,"bZFjrLRduQtvix",34,347,04,3
11409,"sLooNmdnCNok",49,349,37,4
11149,"PpVjTBYvqsEtGQZ",13,338,81,1
11551,"UhwXyoryENtKx",13,345,28,7
11473,"mOqjgfTD",2,318,97,2
11227,"yzHlvmEw",6,306,95,1
11960,"jmYmwaugonH",16,301,2,5
11738,"afFsuOKydADkm",45,346,6,4
11330,"BfrKMhAxAxi",32,311,88,7
11925,"PgTqbebv",47,344,61,1
11933,"fHAHoqAoEKNbL",1,336,72,1
10932,"UbCteJtIcPCoWCG",35,308,4
10735,"awFMJeRTbYos",46,341,38,1
10602,"JsiCQjDoAbrHpjw",27,336,73,4
10869,"QmfjFVHuSZd",34,341,23,5
11458,"sdKqlREsqeRW",50,332,21,4
10889,"YeycovjiKHTnzv",1,304,61,5
11714,"TwnGOgGOGiLTpm",11,308,86,6
11634,"MHgkNECPQE",1,348,92,4
10555,"qhgtVwMV",20,347,53,5
11347,"ZbsdDmMUpooXVMl",45,325,87,7
11430,"sRrgcObLr",50,312,82,7
10561,"CxFUGhhSSHdo",7,350,9,6
11995,"tpRGnEFFn",18,334,85,6
11694,"sAvvuRNTA",44,328,4,7
11077,"TwnGOgGOGiLTpm",43,317,69,7
10935,"ROQDjRiENZH",45,308,05,6
11646,"aClVWdxu",34,315,78,2
10611,"GuqwSeWUdFObGC",12,309,94,2
11826,"syZcntMd",48,320,65,3
11549,"QtibBNjYGREJ",25,307,17,7
10652,"YVpPqnlCjZwDgWN",40,305,84,1
11225,"NTWCcDtmeoAefPp",15,303,05,3
11061,"IKafHmpvhmoaGSr",25,320,71,1
10560,"GEVKzCLxBvFr",24,350,85,3
10910,"ePjQEeTbfXbYmZt",44,334,4,4
11597,"TEZcaZRn",44,325,79,3
10952,"lGkKxwZievIXMD",27,308,57,5
11936,"dOvsgZmIbslatO",1,341,71,3
10531,"hTIDgUuHOtmHndk",35,327,76,4
11681,"FixpoiPNHVy",42,322,97,2
10826,"ymKtQIgrlbhhEZ",27,323,13,6
10710,"vCuhmjRIOVDxx",20,311,75,4
10874,"DTsShUkbrMVmCgi",21,313,9,4
11257,"DcCWwnfo",6,301,55,2
11548,"pXhSzVHodZqDo",34,320,32,2
11798,"dAWSYSQQGTzUY",1,336,46,2
10735,"PtzZdwku",5,337,33,5
10841,"UMyHBfYDvWj",4,303,7,6
11968,"OyiKSYxzFgrga",6,312,48,1
11488,"XeMMglUZKCuhBeG",28,337,51,4
10783,"xbPMdZue",49,339,02,2
10782,"cngrhuObVTCwoaT",2,319,28,1
11171,"NXSnVtUy",2,319,89,6
10694,"nhuHZGCIsLvMN",22,334,4,3
11636,"vvAqwlNQ",37,306,95,5
10896,"XQHBeqRMKlq",13,341,72,3
11987,"uCchsDJOVX",16,338,24,3
11709,"zihuDHhnv",39,329,95,5
11211,"QmfjFVHuSZd",20,340,68,4
11744,"TExDzWSTjg",7,312,38,6
11453,"KaUzzBPqvr",13,322,04,5
11873,"dzvaLeuX",19,338,99,5
10869,"NOGQLSKjU",6,324,29,2
11020,"aegEIagR",40,310,09,6
10731,"tieXFdoxzyI",1,336,71,6
11831,"osGtYFuBMNZDD",17,305,76,4
11777,"iTVCJHLiwM",42,328,47,5
11876,"UMyHBfYDvWj",45,323,6,5
10980,"lcPruGqtTXhnio",43,319,11,2
10759,"mCzhDgLHsrUwk",33,317,29,3
10921,"XepmylUdMEvQg",31,315,29,6
11154,"NKtAtvvgjDOHpF",43,320,13,3
11049,"tsxYkWNIqNdgiV",8,312,48,4
10687,"QqrwmPkLf",25,348,77,6
11141,"MOrTozuHXDrJ",44,317,41,5
10837,"jszRRKlbBTYWA",15,304,37,3
10993,"BoqNJwGhGtaQ",19,309,67,7
11412,"ifAmIUAvire",21,305,08,4
11537,"iGeNMeFGWbiHgJS",22,327,53,1
10771,"qcfziQtXO",45,317,02,1
11693,"dOvsgZmIbslatO",33,316,18,5
11732,"VFoEoyUcsCn",7,307,41,2
10968,"gYgTrOFtQ",21,305,65,4
10989,"cKVVyCrHFyaF",22,321,81,1
11791,"WMhhbjWuiHD",21,327,15,2
11537,"chxvavIY",30,308,14,2
10657,"mKEelYnrKZ",41,304,15,1
11289,"ifAmIUAvire",13,337,76,1
10642,"MXEBCPqb",29,320,28,6
11613,"HqAdZsRdEwFvDTr",12,307,39,1
11085,"eTFCZdJAadCPSw",49,303,11,4
10997,"uNttZPHTnBBaoGs",2,307,14,6
11348,"hXKMdBNqeHtWvVO",38,315,67,1
11193,"IvcVlXdHvq",31,305,42,6
10869,"TeFsvaFyaXSH",47,316,31,2
11456,"WgXZbVQmGogit",37,310,51,1
11459,"ehVKKrOxepuzq",7,349,62,3
11474,"QTBgHzvrN",24,347,29,1
10838,"nbdQuFSj",25,309,26,1
10902,"vTmgtmsLgEIOaF",4,313,65,4
11581,"hXKMdBNqeHtWvVO",14,311,56,4
10812,"DUndjrakYkERZ",44,303,22,4
11806,"qkuadFIcgnyvgW",6,337,1,7
11215,"EuAgfYldsYpn",5,312,57,7
10771,"BoFAednHshi",36,306,32,3
10968,"XPZpObCnAXh",42,301,77,1
11575,"DuTeEruC",32,341,67,4
11435,"NOGQLSKjU",13,316,06,6
11835,"XZafetZK",11,319,14,4
11491,"UTMujEjIsQpq",13,338,29,7
11546,"WxVXnVwQpcB",41,321,17,7
11539,"VdVhWlQM",34,318,77,7
10989,"NKtAtvvgjDOHpF",3,304,09,6
11278,"uEWrVLbZurxcQ",4,332,31,6
11331,"kubiRROaNn",34,311,94,2
10665,"hyKyRuNRMpRLRLm",35,315,61,2
11972,"oiKhNZkUPw",2,339,42,6
10973,"RzuEQXAUlWKeE",41,328,26,1
10725,"tHoSgdPwpe",34,335,25,2
10685,"DKWtEzxyaN",46,306,61,2
11754,"GpJyEwCieAoI",11,340,27,5
10669,"vyeFgXDeOeDB",19,329,99,1
11478,"mPOAqUCCMXs",32,309,01,2
11185,"DyYfiOBh",17,343,23,7
11379,"lmcwsIdOcTbNh",32,347,76,5
11697,"XybIdQxrRqd",12,329,51,6
11959,"kUHyHZzvAd",31,332,08,4
10979,"iFmHyZZstfs",49,310,32,4
11417,"tRZjhinQJDsHts",34,324,49,4
11836,"QwSCLggMcIlZ",43,326,22,6
11505,"ucDOQjITobaYy",20,322,17,2
11976,"FofyXbZFqA",33,309,92,7
11700,"PYajNIdOwP",18,322,58,3
10813,"rAmvURiVVJNiY",23,336,56,1
10779,"laGzRYMJvpYMR",46,331,94,2
11805,"ucDOQjITobaYy",12,322,22,5
11998,"ElUlkyewYvpePK",19,311,09,3
11541,"eZiNCTCfcCZR",7,343,14,2
11436,"iUbxVrDRW",30,320,66,5
11631,"VbsUiwrKEIWQNN",5,315,57,3
10736,"lzJQAUkLAII",1,324,92,2
11619,"GdSbXfjMRmuGS",10,336,24,6
10971,"vrNOYABC",12,349,35,3
10741,"wKYoeYABvJqWaLq",45,346,81,1
11355,"jYyCITnl",40,324,03,1
10541,"geskfFxjUeir",46,345,79,5
10601,"wUUotLLFfH",45,333,27,2
11247,"geskfFxjUeir",36,346,49,2
11906,"iOhwFmlTQT",1,323,33,7
10662,"WScjjenohWRo",27,310,85,4
11985,"mjHMoeRPPeQn",33,319,9,6
10516,"LfkMAdEXR",26,302,05,2
11608,"VFQNuUlClkpkAs",1,334,6,5
11285,"vrNOYABC",29,347,25,6
10852,"rDFKuVvQ",46,324,18,1
10694,"oULAbtXzqx",38,329,55,5
11628,"BtmiHetHJgAfrN",19,324,44,7
11287,"RzuEQXAUlWKeE",24,343,23,4
11854,"ynDNQzwmAbav",42,332,67,7
11964,"ZnaLyvWbFHv",31,328,28,7
10997,"hyKyRuNRMpRLRLm",39,340,96,4
11951,"hLeTJcRXrk",31,309,87,6
11566,"FofyXbZFqA",16,323,48,5
10548,"bmudNIsvoADPr",8,339,11,1
10838,"rcNEMybQaCZbE",42,350,63,2
10893,"xkvgKaOXlB",25,314,28,4
11922,"fRqhCRNuXMV",49,302,23,5
11700,"RzuEQXAUlWKeE",9,332,82,5
11766,"OaxTspxvjC",28,345,93,7
11159,"YkUCxslbCSTr",19,301,37,7
11562,"mnVWJVvsw",44,302,98,6
10580,"SbkmbSclEMrU",5,345,53,6
10693,"eGuKWDjHqBidSYN",43,315,89,7
11107,"mARBguHWoBrsNON",6,313,71,2
11179,"UgwsBZYtnTZFZrQ",49,303,05,7
11775,"UfIQDfqzv",14,349,83,1
11353,"mLZiQxoXNV",30,334,66,1
11269,"ncCOXNFaXnjwR",23,345,1,4
11481,"KFrvQKGXeJc",28,306,81,5
11123,"rXmKEtIjYbsC",32,320,18,5
10635,"OpJaRjFOStdH",37,309,17,5
11686,"UhhPxUkvlGrZOQC",24,337,54,6
11608,"dlrYIIALSYLO",18,343,33,5
10943,"HMAJynIpUNn",29,339,67,5
11694,"HqAdZsRdEwFvDTr",50,303,29,7
10522,"pvzIWLuctQBAr",21,321,39,6
11065,"EkLgltvl",27,327,19,3
11705,"UBFtqjnkCZTcR",12,340,58,4
10886,"fZnlIbQxjb",32,317,39,2
11138,"YEZaHAsMXDgPxIf",44,342,26,4
11371,"UofIFmOKqj",24,342,79,6
10945,"xvnTqiROxMPnvtG",49,344,94,1
11915,"UYmtQfSipMT",39,338,58,4
11172,"BidXhuFa",10,327,35,1
10588,"DfwfTZSyn",17,333,13,1
11155,"aGyfRWKNjIPtXqA",16,338,8,2
11148,"lEcMsmIZNDQIY",36,305,02,4
10737,"qXrnkSFqdMsuYs",16,349,86,4
11660,"mMWGYSdguPdMbEf",26,314,12,5
11831,"eeaLuoubkR",3,340,84,2
11202,"qxCdNhpegKJb",47,340,83,6
11351,"rRCswdYeu",40,323,39,3
11078,"wHZTEalSttK",42,349,98,1
10955,"PgTqbebv",41,308,48,3
11300,"fWrSCTMGRqFCxdA",2,344,66,1
10806,"TjvHPNKzcviynW",9,349,15,5
10781,"voEqZeII",28,340,74,4
10935,"dGqCJgSpjTuSYtE",39,340,23,2
10649,"iTVCJHLiwM",23,307,35,6
11110,"eYolwMseg",38,340,26,1
10504,"HXmXviNTafiw",14,335,28,1
10535,"kDuYtnMZ",40,307,97,3
10540,"snrwNZmYN",42,339,98,7
10767,"IXgmYGDdjoJWLR",30,349,88,2
11324,"kubiRROaNn",30,350,66,5
11665,"qGSencJdCH",45,345,86,3
11587,"PzHhBfTMQsaXrNx",24,310,1,6
10684,"qhgtVwMV",40,329,31,6
11657,"rEbzIBCHXy",25,309,33,6
10924,"ZnaLyvWbFHv",47,310,69,3
11997,"MhwAezlRFxj",20,309,14,2
11817,"yWmLNewwTocE",9,335,01,2
10545,"wrNytYSurVI",35,348,96,4
10935,"bNoQLAJwVnxsil",34,302,63,4
11221,"ybySivmcTyAKF",15,320,59,1
11846,"voEqZeII",14,318,6,4
11189,"gkVTNaGkpck",39,332,87,5
10902,"cCLeTDXjDWX",7,310,23,7
11724,"DKWtEzxyaN",13,311,56,7
10541,"yWmLNewwTocE",26,314,79,7
11444,"tRZjhinQJDsHts",50,344,57,7
11209,"egyyccQS",16,304,53,5
11426,"hzvCXZRVNhj",20,340,44,6
10944,"HxkbOxXyqEN",44,314,12,6
11159,"HxkbOxXyqEN",4,331,95,7
10626,"sLooNmdnCNok",5,323,49,3
11575,"DftVDVBtrqFeN",8,323,7,1
10529,"HHgcIVQcx",37,329,97,1
11007,"pFbLWCRihZ",38,327,94,7
10608,"wKfmgisL",31,343,14,5
10690,"EYqacHSFWpDydgK",29,328,14,3
11097,"tCvowOHRE",5,303,03,6
10952,"dKGAhRRFl",2,330,38,1
11966,"tsxYkWNIqNdgiV",43,342,95,7
11287,"JpCZMAJIpc",10,318,69,3
10940,"ewIPkbBW",4,302,14,2
11963,"tQkyzlcdMyvRZT",24,350,69,3
10890,"DCqukWCbwVGjL",25,310,74,5
11333,"ncCOXNFaXnjwR",49,329,59,5
10822,"uMUwankYaZD",39,307,75,5
11290,"ePjQEeTbfXbYmZt",1,325,58,3
11722,"vaUxCmywiCcFvvm",16,339,85,2
11490,"jcbqZRJSPRxm",42,345,93,2
10601,"iSmilczH",21,342,62,5
11510,"ahwVKllMt",45,350,44,4
11562,"PUXNEroMyyOwMqs",27,309,26,2
10660,"vfjGBsmvF",8,302,96,3
11913,"qMgLQzXklEUFbjx",39,338,2,6
11614,"BidXhuFa",8,317,18,4
11903,"UKkhcbLKWe",44,318,32,3
11277,"hyKyRuNRMpRLRLm",49,305,04,4
